заголовок,movieId,title,id,genres,cast,vote_average,director,keywords,title_key,title_ru,directors_x1,directors_x2,directors_cluster,genre_x1,genre_x2,genre_x3,genre_cluster,cast_x1,cast_x2,cast_cluster,keywords_x1,keywords_x2,keywords_cluster
 Подражатель (1995),22,Copycat (1995),1710,"['Drama', 'Thriller']","['HollyHunter', 'SigourneyWeaver', 'WillPatton', 'WilliamMcNamara']",6.4,Jon Amiel,"['cowardliness', 'policebrutality', 'policeoperation', 'policeprotection', 'psychologist', 'psychology', 'serialkiller']",copycat,,5.3274903,10.2911215,0,11.63568,9.514901,8.135806,19,1.5518013,6.903468,7,-0.4299355,5.0255237,1
 Убийцы (1995),23,Assassins (1995),9691,"['Action', 'Adventure', 'Crime', 'Thriller']","['AnatoliDavydov', 'AntonioBanderas', 'JulianneMoore', 'SylvesterStallone']",6.0,Richard Donner,"['assassination', 'bank', 'caribbean', 'cat', 'cia', 'competition', 'detroitmichigan', 'doublecross', 'hiddencamera', 'hitman', 'mexicanstandoff', 'missionofmurder', 'policechase', 'rescue', 'rivalry', 'seattle', 'shootout', 'silencer', 'sniperrifle']",assassins,,13.266422,6.534135,1,15.426418,-0.3242868,-1.9782994,17,-1.0290642,7.1587205,13,5.606642,10.3944435,1
 Покидая Лас-Вегас (1995),25,Leaving Las Vegas (1995),451,"['Drama', 'Romance']","['ElisabethShue', 'JulianSands', 'NicolasCage', 'RichardLewis']",7.1,Mike Figgis,"['alcohol', 'alcoholabuse', 'alcoholism', 'attemptedsuicide', 'casino', 'dyinganddeath', 'filmproducer', 'hotelroom', 'individual', 'losangeles', 'loveatfirstsight', 'lovesickness', 'prostitute', 'rageandhate', 'screenwriter', 'unsociability']",leavinglasvegas,,5.45436,6.118959,0,-9.358015,-13.215299,13.59973,13,0.7720969,8.317669,7,-2.5200357,6.8762317,1
 Детка (1995),34,Babe (1995),9598,"['Comedy', 'Drama', 'Family', 'Fantasy']","['ChristineCavanaugh', 'DannyMann', 'HugoWeaving', 'MiriamMargolyes']",6.0,Chris Noonan,"['affection', 'germanshepherd', 'grandson', 'heroism', 'pig', 'piglet', 'separation', 'sheep', 'talkinganimal', 'talkingpig']",babe,,4.3809876,6.245913,0,-8.936249,-5.7383614,-3.7625356,5,-0.73346466,7.061772,3,4.044129,8.340103,1
 Мертвец идет (1995),36,Dead Man Walking (1995),687,['Drama'],"['RaymondJ.Barry', 'RobertProsky', 'SeanPenn', 'SusanSarandon']",7.3,Tim Robbins,"['begnadigung', 'charity', 'court', 'courtcase', 'cowardliness', 'deathpenalty', 'deathrow', 'deathsentence', 'despair', 'doomedman', 'electricchair', 'forgiveness', 'lethalinjection', 'mercypetition', 'penalty', 'prison', 'prisoncell', 'rageandhate', 'rape', 'rightandjustice', 'self-discovery', 'sentence', 'sociallydeprivedfamily', 'therapist', 'unsociability']",deadmanwalking,,10.656964,22.159306,0,-15.337273,18.879065,14.114953,2,-3.1546798,4.1496167,14,3.8609776,14.683015,1
 Бессмысленный (1995),39,Clueless (1995),9603,"['Comedy', 'Drama', 'Romance']","['AliciaSilverstone', 'BrittanyMurphy', 'PaulRudd', 'StaceyDash']",6.9,Amy Heckerling,"['conflict', 'gayinterest', 'highschool', 'makeamatch', 'puberty', 'spoiledchild', 'womandirector']",clueless,,6.120546,8.748985,0,-11.609255,-11.696262,6.3907685,7,-3.1356235,5.7665973,24,-18.016346,-2.2545304,0
 Ричард III (1995),41,Richard III (1995),31174,"['Drama', 'War']","['AnnetteBening', 'IanMcKellen', 'JimBroadbent', 'KristinScottThomas']",6.9,Richard Loncraine,"['england', 'kidnapping', 'king', 'murder', 'shakespeare']",richardiii,,0.6606831,4.8307676,0,0.7842286,-10.237899,2.884582,0,-1.9908171,5.987869,15,13.382858,5.593519,1
 Реставрация (1995),43,Restoration (1995),396152,['Horror'],"['AdrianGaeta', 'EmilyRoyaOBrien', 'SarahAnnSchultz', 'ZackWard']",5.3,Zack Ward,[''],restoration,,9.77251,6.297422,1,0.8092462,-3.7382936,4.0298777,12,-3.1802647,4.8021903,24,-7.799057,-11.326392,0
 Смертельная битва (1995),44,Mortal Kombat (1995),9312,"['Action', 'Fantasy']","['Cary-HiroyukiTagawa', 'ChristopherLambert', 'LindenAshby', 'RobinShou']",5.4,Paul W.S. Anderson,"['basedonvideogame', 'gore', 'handtohandcombat', 'island', 'martialarts', 'monster', 'sorcerer', 'tournament', 'violence']",mortalkombat,,21.273554,15.823868,1,5.4797215,-13.46039,-6.2109833,10,-2.9850028,4.193601,14,16.29949,-3.163198,1
 Умереть за (1995),45,To Die For (1995),577,"['Comedy', 'Drama', 'Fantasy', 'Thriller']","['CaseyAffleck', 'JoaquinPhoenix', 'MattDillon', 'NicoleKidman']",6.7,Gus Van Sant,"['adultery', 'narcissisticpersonalitydisorder', 'newhampshire', 'obsession', 'television', 'winter']",todiefor,,5.8706303,13.939682,0,12.295981,6.0842724,2.4575698,19,-2.6726592,-0.17066121,16,7.1794915,-7.2290936,1
 Покахонтас (1995),48,Pocahontas (1995),10530,"['Adventure', 'Animation', 'Drama', 'Family']","['DavidOgdenStiers', 'IreneBedard', 'JohnKassir', 'MelGibson']",6.7,Mike Gabriel,"['17thcentury', 'animalsidekick', 'animatetree', 'animation', 'basedonfolktale', 'colony', 'crossculturalrelationship', 'cultureclash', 'forbiddenlove', 'goldrush', 'indianchief', 'indiansvs.settlers', 'jamestownvirginia', 'landclaim', 'musical', 'musket', 'nativeamerican', 'powhatan', 'princess', 'pugdog', 'referencetopizarro', 'romance', 'settler', 'shamanism', 'songs', 'starcrossedlovers', 'virginia']",pocahontas,,6.4136796,6.9517403,1,-2.145999,-5.2703166,-6.3856,5,-4.147757,3.0981736,14,-6.73149,12.156995,0
 Дом для праздников (1995),57,Home for the Holidays (1995),9089,"['Comedy', 'Drama', 'Romance']","['AnneBancroft', 'CharlesDurning', 'HollyHunter', 'RobertDowneyJr.']",6.3,Jodie Foster,"['baltimore', 'familyclan', 'familyconflict', 'generationsconflict', 'thanksgiving', 'womandirector']",homefortheholidays,,2.4923882,10.219814,0,-11.609255,-11.696262,6.3907685,7,-3.5868726,4.2011766,14,-25.540846,1.0251997,0
 Око за око (1996),61,Eye for an Eye (1996),17182,"['Drama', 'Thriller']","['BeverlyDAngelo', 'EdHarris', 'KieferSutherland', 'SallyField']",5.8,John Schlesinger,"['grievingparents', 'gun', 'rape', 'self-defense']",eyeforaneye,,17.128002,13.607026,1,11.63568,9.514901,8.135806,19,-3.7612338,3.7372456,14,5.7810926,4.166049,1
 Опус мистера Холланда (1995),62,Mr. Holland's Opus (1995),2054,"['Drama', 'Family', 'Music']","['GlenneHeadly', 'JayThomas', 'OlympiaDukakis', 'RichardDreyfuss']",6.9,Stephen Herek,"['apprentice', 'composer', 'deaf-mute', 'disabled', 'mentor', 'music', 'musical', 'privatelife']",mr.holland'sopus,,2.034914,12.045491,0,-8.996553,1.0803101,5.454659,6,-3.6140893,4.401596,24,19.11796,-1.2405604,1
 Пятница (1995),69,Friday (1995),10634,['Comedy'],"['ChrisTucker', 'IceCube', 'NiaLong', 'TomListerJr.']",7.0,F. Gary Gray,"['job', 'parentskidsrelationship', 'rapmusic', 'rapper']",friday,,19.848814,15.119232,1,-12.003901,15.815363,-13.065905,3,-0.39200404,2.4161592,19,9.887626,-10.891454,1
 От заката до рассвета (1996),70,From Dusk Till Dawn (1996),755,"['Action', 'Crime', 'Horror', 'Thriller']","['GeorgeClooney', 'HarveyKeitel', 'JulietteLewis', 'QuentinTarantino']",6.9,Robert Rodriguez,"['bankrobber', 'bankrobbery', 'bloodspurting', 'boaconstrictor', 'brotherbrotherrelationship', 'conveniencestore', 'crucifix', 'dancing', 'eroticism', 'explosion', 'extremeviolence', 'femalevampire', 'holywater', 'hostagesituation', 'mexicanamericanborder', 'nightclubentertainer', 'nudity', 'preacher', 'priest', 'recreationalvehicle', 'sexualobsession', 'sheriff', 'showdown', 'siege', 'stripper', 'vampire']",fromdusktilldawn,,13.925448,4.128818,1,18.117523,-1.2330289,-2.5607257,17,2.019577,5.3624854,1,1.3895091,8.072324,1
 Честная игра (1995),71,Fair Game (1995),38363,"['Drama', 'Thriller']","['BrookeSmith', 'NaomiWatts', 'SeanPenn', 'TyBurrell']",6.5,Doug Liman,"['cia', 'duringcreditsstinger', 'iraq', 'nuclearscientist', 'politician']",fairgame,,5.5053387,6.4435344,0,11.63568,9.514901,8.135806,19,-2.0660162,-0.060756642,16,0.1810562,-14.876997,1
" Чем заняться в Денвере, когда ты умрешь (1995)",81,Things to Do in Denver When You're Dead (1995),400,"['Crime', 'Drama']","['AndyGarcía', 'BillNunn', 'ChristopherLloyd', 'WilliamForsythe']",6.7,Gary Fleder,"['blood', 'boat', 'bountyhunter', 'coffin', 'denver', 'diner', 'extramaritalaffair', 'fathersonrelationship', 'friendship', 'gangster', 'godmother', 'hitman', 'illegalprostitution', 'independentfilm', 'mafia', 'murder', 'paranoia', 'psychopath', 'revenge', 'violence', 'wayoflife']",thingstodoindenverwhenyou'redead,,5.3853807,5.2891417,1,-13.161213,8.548437,4.8700733,6,1.5071084,4.1080217,11,6.7193365,16.199457,1
 Белый шквал (1996),86,White Squall (1996),10534,"['Action', 'Drama']","['CarolineGoodall', 'JeffBridges', 'JohnSavage', 'ScottWolf']",6.3,Ridley Scott,"['1960s', 'caribbean', 'comingofage', 'diary', 'discipline', 'malebonding', 'sail', 'sailing', 'sailingtrip', 'seasickness', 'shipcaptain', 'squall', 'stormatsea', 'survival', 'teenageboy']",whitesquall,,2.7069378,31.613478,0,-9.073725,10.910952,2.1766336,6,-2.0824127,0.10798695,16,2.801555,6.968073,1
 Мэри Рейли (1996),92,Mary Reilly (1996),9095,"['Drama', 'Horror', 'Romance', 'Thriller']","['GeorgeCole', 'JohnMalkovich', 'JuliaRoberts', 'MichaelGambon']",5.7,Stephen Frears,"['19thcentury', 'housemaid', 'jekyllandhyde', 'laboratory', 'monster', 'servant']",maryreilly,,2.0786994,11.741614,0,14.958719,1.6895344,7.081567,4,1.0899103,3.1633723,11,13.133759,-5.9872513,1
 Вампир в Бруклине (1995),93,Vampire in Brooklyn (1995),12158,"['Comedy', 'Horror', 'Romance']","['AllenPayne', 'AngelaBassett', 'EddieMurphy', 'KadeemHardison']",4.5,Wes Craven,"['halfvampire', 'vampire']",vampireinbrooklyn,,9.286279,2.3781674,1,-6.613051,-23.388792,2.6409273,14,-1.4100319,-0.82811743,16,17.08358,-12.151928,1
 Мэрия (1996),100,City Hall (1996),11062,"['Drama', 'Thriller']","['AlPacino', 'BridgetFonda', 'DannyAiello', 'JohnCusack']",6.0,Harold Becker,"['corruption', 'drug', 'drugdealer', 'investigation', 'mayor', 'police', 'presidentialelection', 'undercover', 'undercoveragent', 'warondrugs']",cityhall,,3.9331062,0.72343683,1,11.63568,9.514901,8.135806,19,-2.51675,1.7463472,22,15.014677,7.835698,1
 Бутылочная ракета (1996),101,Bottle Rocket (1996),13685,"['Comedy', 'Crime', 'Drama']","['AndrewWilson', 'LukeWilson', 'LumiCavazos', 'OwenWilson']",6.8,Wes Anderson,"['brotherbrotherrelationship', 'burglar', 'escapade', 'independentfilm', 'languagebarrier', 'laundryroom', 'maid', 'motel', 'nervousbreakdown', 'psychiatrichospital', 'robbery', 'theft']",bottlerocket,,0.6084941,11.6564045,0,-15.820196,8.105503,0.44516188,16,-2.3950758,2.9710555,14,13.984858,2.415577,1
 Счастливый Гилмор (1996),104,Happy Gilmore (1996),9614,['Comedy'],"['AdamSandler', 'BenStiller', 'ChristopherMcDonald', 'JulieBowen']",6.5,Dennis Dugan,"['golf', 'lossoffather', 'lossofmother', 'sport', 'taxes']",happygilmore,,5.8076177,5.4792933,1,-12.003901,15.815363,-13.065905,3,2.0034952,5.0848517,1,10.189906,-5.724353,1
 Храброе сердце (1995),110,Braveheart (1995),197,"['Action', 'Drama', 'History', 'War']","['CatherineMcCormack', 'MelGibson', 'PatrickMcGoohan', 'SophieMarceau']",7.7,Mel Gibson,"['idealism', 'independence', 'individual', 'inlovewithenemy', 'legend', 'revolt', 'scotland', 'tyranny']",braveheart,,9.923795,-1.9178885,1,-3.2929516,-9.828114,-0.7663182,0,-1.097973,-0.4909494,16,8.194915,6.2384744,1
 Таксист (1976),111,Taxi Driver (1976),103,"['Crime', 'Drama']","['CybillShepherd', 'HarveyKeitel', 'JodieFoster', 'RobertDeNiro']",8.0,Martin Scorsese,"['alienation', 'drugdealer', 'illegalprostitution', 'loner', 'misanthrope', 'nightshift', 'obsession', 'shottodeath', 'taxi', 'vietnamveteran', 'vigilante']",taxidriver,,3.1601725,31.047874,0,-13.161213,8.548437,4.8700733,6,-3.2252584,3.7310047,14,-14.09071,4.7841697,0
 Бумеранг (1992),122,Boomerang (1992),11066,"['Comedy', 'Romance']","['DavidAlanGrier', 'EddieMurphy', 'HalleBerry', 'RobinGivens']",5.4,Reginald Hudlin,"['casanova', 'chefin', 'ladiesman', 'ladykiller', 'roleofwomen', 'success', 'womanizer']",boomerang,,1.0390174,6.231844,0,-9.254191,-20.254225,2.5438378,14,1.3405306,7.4777274,7,-19.70411,-0.016839162,0
Заигрывание с катастрофой (1996),125,Flirting With Disaster (1996),2074,"['Comedy', 'Romance']","['BenStiller', 'MaryTylerMoore', 'PatriciaArquette', 'TéaLeoni']",6.3,David O. Russell,"['half-brother', 'independentfilm', 'lookingforbirthparents', 'lsd']",flirtingwithdisaster,,21.264563,15.842768,1,-9.254191,-20.254225,2.5438378,14,-2.823499,4.1114454,14,-25.649551,-0.8851247,0
 Джейд (1995),132,Jade (1995),11863,"['Action', 'Mystery', 'Romance', 'Thriller']","['ChazzPalminteri', 'DavidCaruso', 'LindaFiorentino', 'MichaelBiehn']",5.2,William Friedkin,"['callgirl', 'investigation', 'murder', 'sanfrancisco']",jade,,1.2027609,5.5872116,0,15.109556,-3.6840253,1.01175,15,-4.0023074,3.6994052,14,15.293402,2.0864086,1
 Плохие парни (1995),145,Bad Boys (1995),9737,"['Action', 'Comedy', 'Crime', 'Thriller']","['MartinLawrence', 'TchékyKaryo', 'TéaLeoni', 'WillSmith']",6.5,Michael Bay,"['actionhero', 'airport', 'badge', 'blackcop', 'brutality', 'bust', 'carchase', 'carcrash', 'corruptcop', 'detective', 'druglord', 'explosion', 'footchase', 'gunfight', 'handcuffs', 'hangar', 'internalaffairs', 'loosecannon', 'mexicanstandoff', 'miami', 'referencetoskittles', 'stripclub', 'witnessprotection']",badboys,,22.592697,23.035076,1,11.849634,2.0211396,-6.224662,1,1.6387774,4.1270714,11,-0.69899786,14.239012,1
 Аполлон-13 (1995),150,Apollo 13 (1995),568,['Drama'],"['BillPaxton', 'GarySinise', 'KevinBacon', 'TomHanks']",7.3,Ron Howard,"['apolloprogram', 'astronaut', 'basedontruestory', 'capekennedy', 'courage', 'disaster', 'explosion', 'florida', 'houston', 'hypothermia', 'imax', 'lunarmission', 'moon', 'nasa', 'raceagainsttime', 'rescue', 'saturnvrocket', 'space', 'spacecraftaccident', 'spaceman', 'survival']",apollo13,,6.2594857,4.6441426,1,-15.337273,18.879065,14.114953,2,0.085173324,4.8114796,11,7.0537996,10.464779,1
 Роб Рой (1995),151,Rob Roy (1995),11780,['Adventure'],"['JessicaLange', 'JohnHurt', 'LiamNeeson', 'TimRoth']",6.5,Michael Caton-Jones,"['18thcentury', 'biography', 'highlands', 'scotland', 'violentman']",robroy,,5.528571,7.347997,0,1.8521273,-2.6358848,-2.724853,12,1.5937096,6.8302855,7,-1.3934442,-7.165621,1
 Бэтмен навсегда (1995),153,Batman Forever (1995),414,"['Action', 'Crime', 'Fantasy']","['JimCarrey', 'NicoleKidman', 'TommyLeeJones', 'ValKilmer']",5.2,Joel Schumacher,"['beretta', 'brokenneck', 'criminal', 'dccomics', 'disfigurement', 'districtattorney', 'fallingdownstairs', 'fatherfigure', 'gothamcity', 'knockedout', 'millionaire', 'partner', 'psychologist', 'riddle', 'robin', 'rose', 'superhero', 'superpowers', 'tiedup', 'tommygun', 'violence']",batmanforever,,8.064824,1.2125968,1,2.774355,-15.98725,-5.587481,10,-2.065148,0.3514536,16,9.497899,5.7620435,1
 Каспер (1995),158,Casper (1995),8839,"['Comedy', 'Family', 'Fantasy']","['BillPullman', 'CathyMoriarty', 'ChristinaRicci', 'EricIdle']",6.0,Brad Silberling,"['afterlife', 'danger', 'disorder', 'friends', 'friendship', 'ghost', 'halloween', 'imaginary', 'mischievouschildren', 'supernatural', 'supernaturalability', 'youngheroes']",casper,,10.710565,5.050873,1,1.4744362,-9.878254,-14.534147,18,1.7494875,6.7642894,23,3.8507667,15.341335,1
 Конго (1995),160,Congo (1995),10329,"['Action', 'Adventure', 'Drama', 'Mystery', 'ScienceFiction', 'Thriller']","['DylanWalsh', 'ErnieHudson', 'LauraLinney', 'TimCurry']",5.0,Frank Marshall,"['diamond', 'diamondmine', 'gorilla', 'kongo']",congo,,4.848695,2.8424618,1,16.645319,2.1651566,0.9284234,17,-1.1932589,-0.8268219,16,-10.405317,-1.5998119,0
 Багровый прилив (1995),161,Crimson Tide (1995),8963,"['Action', 'Drama', 'Thriller']","['DenzelWashington', 'GeneHackman', 'GeorgeDzundza', 'MattCraven']",7.0,Tony Scott,"['aircraftcarrier', 'battleforpower', 'chainofcommand', 'embassy', 'launchcode', 'military', 'missile', 'moraldilemma', 'mutiny', 'nuclearmissile', 'postcoldwar', 'russia', 'sonar', 'submarine', 'torpedo', 'u.s.navy']",crimsontide,,9.970555,4.0836644,1,14.045107,6.6068463,1.4919333,19,1.971935,6.0156045,23,0.08322126,11.643853,1
 Отчаянный (1995),163,Desperado (1995),8068,"['Action', 'Crime', 'Thriller']","['AntonioBanderas', 'CheechMarin', 'JoaquimdeAlmeida', 'SalmaHayek']",6.8,Robert Rodriguez,"['ambush', 'antiterror', 'bartender', 'bookstore', 'brutality', 'concealedweapon', 'druglord', 'explosion', 'extremeviolence', 'flashback', 'guitar', 'gunslinger', 'hitman', 'legbrace', 'mariachi', 'mexico', 'nudity', 'revenge', 'shootout', 'showdown', 'tragichero']",desperado,,13.910554,4.150776,1,14.578308,2.1465719,1.7772398,15,-1.0434535,-0.2742419,16,9.861734,11.574865,1
 Крепкий орешек: с удвоенной силой (1995),165,Die Hard: With a Vengeance (1995),1572,"['Action', 'Thriller']","['BruceWillis', 'GrahamGreene', 'JeremyIrons', 'SamuelL.Jackson']",6.9,John McTiernan,"['actionhero', 'aqueduct', 'bomb', 'carchase', 'deception', 'detective', 'dumptruck', 'explosion', 'fbiagent', 'federalreservebank', 'fistfight', 'flashback', 'gold', 'helicopter', 'newyorkcity', 'police', 'riddle', 'robbery', 'sequel', 'ship', 'shootout', 'simonsays', 'subway', 'taxi', 'violence']",diehard:withavengeance,,2.21892,6.4078627,0,16.263378,4.267985,5.1335187,8,-1.5084863,-0.36688557,16,16.549715,9.657099,1
 Первый рыцарь (1995),168,First Knight (1995),6520,"['Action', 'Adventure', 'Drama', 'Romance']","['BenCross', 'JuliaOrmond', 'RichardGere', 'SeanConnery']",5.9,Jerry Zucker,"['camelot', 'excalibur', 'kingarthur', 'knight', 'knightsoftheroundtable']",firstknight,,5.6336827,5.5216365,1,-1.8482641,-14.430468,3.2257152,0,-1.1942321,-0.08310096,16,-13.502962,1.8582971,0
 Хакеры (1995),170,Hackers (1995),10428,"['Action', 'Crime', 'Drama', 'Thriller']","['AngelinaJolie', 'JesseBradford', 'JonnyLeeMiller', 'MatthewLillard']",6.2,Iain Softley,"['computer', 'computerhacker', 'computervirus', 'cyberpunk', 'dreamsequence', 'femalenudity', 'hacker', 'internet', 'newyorkcity', 'nudity', 'prank', 'secretservice', 'sexualfantasy', 'teenager', 'virtualreality']",hackers,,5.581841,7.674125,0,12.955965,4.0579224,0.080088094,15,1.855835,6.1031184,23,-5.6610003,5.267742,0
 Дети (1995),175,Kids (1995),9344,"['Crime', 'Drama']","['ChloëSevigny', 'JustinPierce', 'LeoFitzpatrick', 'RosarioDawson']",6.8,Larry Clark,"['firsttime', 'puberty']",kids,,6.2525654,5.143567,1,-13.161213,8.548437,4.8700733,6,-1.8241725,-0.90847063,16,-18.864351,-5.251909,0
 Крысы (1995),180,Mallrats (1995),2293,"['Comedy', 'Romance']","['ClaireForlani', 'JasonLee', 'JeremyLondon', 'ShannenDoherty']",6.8,Kevin Smith,"['aftercreditsstinger', 'bandleader', 'coke', 'ex-boyfriendex-girlfriendrelationship', 'gameshow', 'jayandsilentbob', 'mall', 'sex', 'shopping', 'silentman', 'slacker']",mallrats,,19.428808,-0.18715128,1,-9.254191,-20.254225,2.5438378,14,-1.2944189,-0.41640505,16,0.84492487,0.5101512,1
 Шоугелз (1995),193,Showgirls (1995),10802,['Drama'],"['ElizabethBerkley', 'GinaGershon', 'GlennPlummer', 'KyleMacLachlan']",4.9,Paul Verhoeven,"['dancing', 'femalenudity', 'go-godancer', 'seduction', 'sexappeal', 'spanner', 'striptease']",showgirls,,4.777481,11.640581,0,-15.337273,18.879065,14.114953,2,-1.912352,-0.33229873,16,-16.883385,-3.341339,0
 Виды (1995),196,Species (1995),9348,"['Action', 'Horror', 'ScienceFiction']","['AlfredMolina', 'BenKingsley', 'MichaelMadsen', 'NatashaHenstridge']",5.5,Roger Donaldson,"['alien', 'aliendna', 'cocoon', 'decapitation', 'dna', 'femmefatale', 'geneticengineering', 'genetics', 'instinct', 'losangeles', 'ontherun', 'paranoia', 'scientists', 'sexualattraction', 'telepathy']",species,,10.670596,22.175646,0,18.89112,1.247024,-0.6523867,17,-0.9130008,-0.40965483,16,-4.2153473,13.030216,1
 В осаде 2: Темная территория (1995),204,Under Siege 2: Dark Territory (1995),3512,"['Action', 'Thriller']","['EricBogosian', 'EverettMcGill', 'KatherineHeigl', 'StevenSeagal']",5.6,Geoff Murphy,"['navyseal', 'pentagon', 'satellite', 'terrorist', 'train']",undersiege2:darkterritory,,7.8122535,5.5707054,1,16.263378,4.267985,5.1335187,8,0.119244374,3.9702742,11,14.929817,-7.7558923,1
 Водный мир (1995),208,Waterworld (1995),9804,"['Action', 'Adventure']","['ChaimGirafi', 'KevinCostner', 'R.D.Call', 'RickAviles']",5.9,Kevin Reynolds,"['doomsday', 'dystopia', 'mutant', 'ocean', 'tattoo', 'water']",waterworld,,8.525493,5.7648478,1,2.9837873,-2.9116263,-8.125521,18,-1.4340239,-0.5994397,16,12.220786,-4.234089,1
 Перед восходом солнца (1995),215,Before Sunrise (1995),76,"['Drama', 'Romance']","['AndreaEckert', 'EthanHawke', 'HannoPöschl', 'JulieDelpy']",7.7,Richard Linklater,"['austria', 'bittersweet', 'danube', 'dialogue', 'romantic', 'soulmates', 'sunrise', 'talking', 'traveller', 'vienna', 'walking']",beforesunrise,,3.851416,13.583975,0,-9.358015,-13.215299,13.59973,13,-1.8618772,-0.04175918,16,7.2544074,-1.4999225,1
